Lokalita,Slovenský názov,Latinský názov,Lokalita_druh,Lat,Lon,Početnosť,"Min, Hg (mg/kg SH)","Max, Hg (mg/kg SH)2","Min, THQ","Max, THQ2","Min, MSCQ (g/osoba/deň)","Max, MSCQ (g/osoba/deň)2",Hgmin-max (mg/kg SH),THQmin-max,MSCQmin-max (g/osoba/deň ČH),Link,Foto
Bačkov,Bedľa vysoká,Macrolepiota procera,Bačkov: Bedľa vysoká,"48,758670","21,605610",1,"0,497792","0,497792","0,032562","0,032562","421,862947","421,862947","0,498 - 0,498","0,033 - 0,033","421,9 - 421,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Bojná,Bedľa vysoká,Macrolepiota procera,Bojná: Bedľa vysoká,"48,617970","18,037450",15,"0,063883","4,572865","0,004179","0,299128","45,923070","3 287,259521","0,064 - 4,573","0,004 - 0,299","45,9 - 3287,3",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Čertov - Lamže,Bedľa vysoká,Macrolepiota procera,Čertov - Lamže: Bedľa vysoká,"49,282150","18,221170",3,"0,121892","1,958405","0,007973","0,128107","107,230118","1 722,836609","0,122 - 1,958","0,008 - 0,128","107,2 - 1722,8",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Čierny Balog - Vydrovo,Bedľa vysoká,Macrolepiota procera,Čierny Balog - Vydrovo: Bedľa vysoká,"48,742277","19,644890",1,"3,851893","3,851893","0,251967","0,251967","54,518648","54,518648","3,852 - 3,852","0,252 - 0,252","54,5 - 54,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Čierny Balog_Medveďov,Bedľa vysoká,Macrolepiota procera,Čierny Balog_Medveďov: Bedľa vysoká,"48,745900","19,612780",3,"2,236569","3,442163","0,146302","0,225165","61,008151","93,893817","2,237 - 3,442","0,146 - 0,225","61 - 93,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Dechtice_kameňolom,Bedľa vysoká,Macrolepiota procera,Dechtice_kameňolom: Bedľa vysoká,"48,567957","17,564734",7,"1,188161","3,694084","0,077722","0,241644","56,847652","176,743724","1,188 - 3,694","0,078 - 0,242","56,8 - 176,7",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Detvianska Huta - Komárno,Bedľa vysoká,Macrolepiota procera,Detvianska Huta - Komárno: Bedľa vysoká,"48,582204","19,601596",4,"0,056284","3,200712","0,003682","0,209370","65,610402","3 731,078104","0,056 - 3,201","0,004 - 0,209","65,6 - 3731,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Divina - Hucerovci,Bedľa vysoká,Macrolepiota procera,Divina - Hucerovci: Bedľa vysoká,"49,287750","18,691570",7,"1,840771","6,288936","0,120412","0,411383","33,391976","114,082632","1,841 - 6,289","0,12 - 0,411","33,4 - 114,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Donovaly - Polianka,Bedľa vysoká,Macrolepiota procera,Donovaly - Polianka: Bedľa vysoká,"48,866290","19,221718",2,"1,166000","3,257000","0,076272","0,213053","64,476512","180,102916","1,166 - 3,257","0,076 - 0,213","64,5 - 180,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Drozdovo_SKI,Bedľa vysoká,Macrolepiota procera,Drozdovo_SKI: Bedľa vysoká,"48,425666","18,550507",6,"1,116844","4,187962","0,073057","0,273950","50,143721","188,029841","1,117 - 4,188","0,073 - 0,274","50,1 - 188",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Duchonka,Bedľa vysoká,Macrolepiota procera,Duchonka: Bedľa vysoká,"48,669040","18,099310",9,"0,750449","3,007544","0,049090","0,196735","69,824415","279,832474","0,75 - 3,008","0,049 - 0,197","69,8 - 279,8",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Heľpa - Brestinka,Bedľa vysoká,Macrolepiota procera,Heľpa - Brestinka: Bedľa vysoká,"48,839015","19,970191",3,"3,734110","4,315613","0,244262","0,282300","48,660526","56,238300","3,734 - 4,316","0,244 - 0,282","48,7 - 56,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Hodruša - Hámre,Bedľa vysoká,Macrolepiota procera,Hodruša - Hámre: Bedľa vysoká,"48,469070","18,755280",21,"0,069396","2,854993","0,004539","0,186756","73,555347","3 026,111015","0,069 - 2,855","0,005 - 0,187","73,6 - 3026,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Hodruša-Hámre_Kopanice,Bedľa vysoká,Macrolepiota procera,Hodruša-Hámre_Kopanice: Bedľa vysoká,"48,442434","18,801284",2,"1,381811","3,017870","0,090389","0,197410","69,585502","151,974474","1,382 - 3,018","0,09 - 0,197","69,6 - 152",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Holčíkovce_vodná nádrž,Bedľa vysoká,Macrolepiota procera,Holčíkovce_vodná nádrž: Bedľa vysoká,"49,025640","21,709350",1,"3,271518","3,271518","0,214002","0,214002","64,190385","64,190385","3,272 - 3,272","0,214 - 0,214","64,2 - 64,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Horné Opatovce,Bedľa vysoká,Macrolepiota procera,Horné Opatovce: Bedľa vysoká,"48,556650","18,861230",2,"1,396854","2,463067","0,091373","0,161118","85,259556","150,337831","1,397 - 2,463","0,091 - 0,161","85,3 - 150,3",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Hostie,Bedľa vysoká,Macrolepiota procera,Hostie: Bedľa vysoká,"48,476150","18,455020",10,"0,860747","3,395626","0,056305","0,222121","61,844267","243,974129","0,861 - 3,396","0,056 - 0,222","61,8 - 244",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Hronec,Bedľa vysoká,Macrolepiota procera,Hronec: Bedľa vysoká,"48,796520","19,568420",2,"0,860190","1,676778","0,056268","0,109684","125,240193","244,132110","0,86 - 1,677","0,056 - 0,11","125,2 - 244,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Jablonica_Agrovýkrm,Bedľa vysoká,Macrolepiota procera,Jablonica_Agrovýkrm: Bedľa vysoká,"48,634594","17,386711",11,"1,355588","2,589111","0,088674","0,169363","81,108921","154,914325","1,356 - 2,589","0,089 - 0,169","81,1 - 154,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Jalšové_chaty,Bedľa vysoká,Macrolepiota procera,Jalšové_chaty: Bedľa vysoká,"48,501217","17,826045",6,"0,701000","1,223000","0,045855","0,080001","171,708913","299,572040","0,701 - 1,223","0,046 - 0,08","171,7 - 299,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Jedľové Kostoľany,Bedľa vysoká,Macrolepiota procera,Jedľové Kostoľany: Bedľa vysoká,"48,469250","18,463430",9,"0,772258","5,750869","0,050516","0,376186","36,516220","271,929847","0,772 - 5,751","0,051 - 0,376","36,5 - 271,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Jelitov,Bedľa vysoká,Macrolepiota procera,Jelitov: Bedľa vysoká,"49,449335","18,676267",3,"1,938815","4,282475","0,126825","0,280133","49,037064","108,313583","1,939 - 4,282","0,127 - 0,28","49 - 108,3",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Klátová Nová Ves,Bedľa vysoká,Macrolepiota procera,Klátová Nová Ves: Bedľa vysoká,"48,543880","18,311370",1,"1,860456","1,860456","0,121699","0,121699","112,875553","112,875553","1,86 - 1,86","0,122 - 0,122","112,9 - 112,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Klubina - Klubinský dvor,Bedľa vysoká,Macrolepiota procera,Klubina - Klubinský dvor: Bedľa vysoká,"49,388687","18,962734",7,"2,244672","6,054089","0,146832","0,396021","34,687300","93,554871","2,245 - 6,054","0,147 - 0,396","34,7 - 93,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Kopernica_kameňolom,Bedľa vysoká,Macrolepiota procera,Kopernica_kameňolom: Bedľa vysoká,"48,656053","18,855442",3,"0,469161","3,997153","0,030690","0,261469","52,537393","447,607538","0,469 - 3,997","0,031 - 0,261","52,5 - 447,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Kostoľany pod Tribečom,Bedľa vysoká,Macrolepiota procera,Kostoľany pod Tribečom: Bedľa vysoká,"48,425230","18,207770",2,"1,241227","1,337022","0,081193","0,087460","157,065478","169,187425","1,241 - 1,337","0,081 - 0,087","157,1 - 169,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Kováčová_salaš,Bedľa vysoká,Macrolepiota procera,Kováčová_salaš: Bedľa vysoká,"48,593070","19,095060",2,"2,793339","3,158075","0,182723","0,206581","66,496204","75,178845","2,793 - 3,158","0,183 - 0,207","66,5 - 75,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Kozelník,Bedľa vysoká,Macrolepiota procera,Kozelník: Bedľa vysoká,"48,507581","18,970623",4,"2,522000","4,781000","0,164973","0,312743","43,923865","83,267248","2,522 - 4,781","0,165 - 0,313","43,9 - 83,3",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Krahule - Čierňavy,Bedľa vysoká,Macrolepiota procera,Krahule - Čierňavy: Bedľa vysoká,"48,739611","18,926753",1,"5,096737","5,096737","0,333397","0,333397","41,202832","41,202832","5,097 - 5,097","0,333 - 0,333","41,2 - 41,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Krajné,Bedľa vysoká,Macrolepiota procera,Krajné: Bedľa vysoká,"48,707103","17,688867",15,"1,156579","2,946370","0,075656","0,192733","71,274144","181,569958","1,157 - 2,946","0,076 - 0,193","71,3 - 181,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Kráľovce - Krnišov_kameňolom,Bedľa vysoká,Macrolepiota procera,Kráľovce - Krnišov_kameňolom: Bedľa vysoká,"48,326200","18,986500",20,"0,444435","1,718578","0,029072","0,112419","122,194047","472,510041","0,444 - 1,719","0,029 - 0,112","122,2 - 472,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Krpáčovo_pamätník SNP,Bedľa vysoká,Macrolepiota procera,Krpáčovo_pamätník SNP: Bedľa vysoká,"48,870136","19,531116",2,"1,498358","1,867598","0,098013","0,122167","112,443899","140,153421","1,498 - 1,868","0,098 - 0,122","112,4 - 140,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Lazy pod Makytou - Panština,Bedľa vysoká,Macrolepiota procera,Lazy pod Makytou - Panština: Bedľa vysoká,"49,245050","18,224730",12,"1,220500","4,003540","0,079837","0,261886","52,453579","172,060631","1,221 - 4,004","0,08 - 0,262","52,5 - 172,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Lehôtka pod Brehmi,Bedľa vysoká,Macrolepiota procera,Lehôtka pod Brehmi: Bedľa vysoká,"48,542648","18,834796",6,"1,750497","3,138576","0,114507","0,205306","66,909324","119,965930","1,75 - 3,139","0,115 - 0,205","66,9 - 120",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Limbach,Bedľa vysoká,Macrolepiota procera,Limbach: Bedľa vysoká,"48,294658","17,200095",9,"1,575809","5,164834","0,103080","0,337851","40,659584","133,264882","1,576 - 5,165","0,103 - 0,338","40,7 - 133,3",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Liptovské Revúce - Nižná Revúca,Bedľa vysoká,Macrolepiota procera,Liptovské Revúce - Nižná Revúca: Bedľa vysoká,"48,927252","19,207368",4,"1,442000","3,434000","0,094327","0,224631","61,153174","145,631068","1,442 - 3,434","0,094 - 0,225","61,2 - 145,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Lozorno_ranč,Bedľa vysoká,Macrolepiota procera,Lozorno_ranč: Bedľa vysoká,"48,335600","17,063080",8,"0,042437","2,858537","0,002776","0,186988","73,464153","4 948,511912","0,042 - 2,859","0,003 - 0,187","73,5 - 4948,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Ľubietová_hospic,Bedľa vysoká,Macrolepiota procera,Ľubietová_hospic: Bedľa vysoká,"48,732030","19,407550",4,"3,020233","7,442745","0,197565","0,486858","28,215396","69,531059","3,02 - 7,443","0,198 - 0,487","28,2 - 69,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Lukov - Malcov,Bedľa vysoká,Macrolepiota procera,Lukov - Malcov: Bedľa vysoká,"49,284355","21,060057",5,"0,567479","0,975777","0,037121","0,063829","215,213107","370,057747","0,567 - 0,976","0,037 - 0,064","215,2 - 370,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Malachov,Bedľa vysoká,Macrolepiota procera,Malachov: Bedľa vysoká,"48,710620","19,054810",1,"25,054104","25,054104","1,638882","1,638882","8,381860","8,381860","25,054 - 25,054","1,639 - 1,639","8,4 - 8,4",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Malachov - Hrádok,Bedľa vysoká,Macrolepiota procera,Malachov - Hrádok: Bedľa vysoká,"48,705354","19,071792",1,"3,272800","3,272800","0,214086","0,214086","64,165241","64,165241","3,273 - 3,273","0,214 - 0,214","64,2 - 64,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Malachov - Ortúty,Bedľa vysoká,Macrolepiota procera,Malachov - Ortúty: Bedľa vysoká,"48,713863","19,036367",1,"6,086136","6,086136","0,398117","0,398117","34,504651","34,504651","6,086 - 6,086","0,398 - 0,398","34,5 - 34,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Markušovce_odkalisko,Bedľa vysoká,Macrolepiota procera,Markušovce_odkalisko: Bedľa vysoká,"48,901920","20,647530",5,"37,249437","58,478536","2,436624","3,825299","3,591061","5,637669","37,249 - 58,479","2,437 - 3,825","3,6 - 5,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Močiar,Bedľa vysoká,Macrolepiota procera,Močiar: Bedľa vysoká,"48,554690","18,955510",1,"1,050628","1,050628","0,068725","0,068725","199,880453","199,880453","1,051 - 1,051","0,069 - 0,069","199,9 - 199,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Moštenica,Bedľa vysoká,Macrolepiota procera,Moštenica: Bedľa vysoká,"48,493125","19,151511",1,"2,060192","2,060192","0,134765","0,134765","101,932247","101,932247","2,06 - 2,06","0,135 - 0,135","101,9 - 101,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Muránska Planina - Veľký Cigáň,Bedľa vysoká,Macrolepiota procera,Muránska Planina - Veľký Cigáň: Bedľa vysoká,"48,796135","19,974375",4,"0,987233","3,366044","0,064579","0,220185","62,387776","212,715742","0,987 - 3,366","0,065 - 0,22","62,4 - 212,7",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Nemečky_vodná nádrž,Bedľa vysoká,Macrolepiota procera,Nemečky_vodná nádrž: Bedľa vysoká,"48,683830","18,105330",6,"0,493666","1,368498","0,032293","0,089519","153,452910","425,388826","0,494 - 1,368","0,032 - 0,09","153,5 - 425,4",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Nitra - Malá Skalka,Bedľa vysoká,Macrolepiota procera,Nitra - Malá Skalka: Bedľa vysoká,"48,339770","18,092450",6,"1,131326","1,601938","0,074004","0,104789","131,091216","185,622889","1,131 - 1,602","0,074 - 0,105","131,1 - 185,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Nová Baňa_Jarmila,Bedľa vysoká,Macrolepiota procera,Nová Baňa_Jarmila: Bedľa vysoká,"48,454550","18,640170",1,"3,377234","3,377234","0,220917","0,220917","62,181063","62,181063","3,377 - 3,377","0,221 - 0,221","62,2 - 62,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Nová Baňa_Studnička,Bedľa vysoká,Macrolepiota procera,Nová Baňa_Studnička: Bedľa vysoká,"48,453830","18,657370",1,"1,637143","1,637143","0,107092","0,107092","128,272240","128,272240","1,637 - 1,637","0,107 - 0,107","128,3 - 128,3",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Očová,Bedľa vysoká,Macrolepiota procera,Očová: Bedľa vysoká,"48,611920","19,314750",5,"0,427061","1,452213","0,027936","0,094995","144,606886","491,733031","0,427 - 1,452","0,028 - 0,095","144,6 - 491,7",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Oreské_lom,Bedľa vysoká,Macrolepiota procera,Oreské_lom: Bedľa vysoká,"48,863250","21,936970",1,"1,080418","1,080418","0,070674","0,070674","194,369216","194,369216","1,08 - 1,08","0,071 - 0,071","194,4 - 194,4",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Orovnica_Tekovská kúria,Bedľa vysoká,Macrolepiota procera,Orovnica_Tekovská kúria: Bedľa vysoká,"48,373120","18,577130",8,"0,953816","2,151039","0,062393","0,140707","97,627240","220,168251","0,954 - 2,151","0,062 - 0,141","97,6 - 220,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Osrblie,Bedľa vysoká,Macrolepiota procera,Osrblie: Bedľa vysoká,"48,753120","19,521268",1,"1,996711","1,996711","0,130612","0,130612","105,172957","105,172957","1,997 - 1,997","0,131 - 0,131","105,2 - 105,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Pezinská Baba,Bedľa vysoká,Macrolepiota procera,Pezinská Baba: Bedľa vysoká,"48,356022","17,218552",8,"0,292850","5,135130","0,019156","0,335908","40,894778","717,090661","0,293 - 5,135","0,019 - 0,336","40,9 - 717,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Pitelová_nad Kečkou,Bedľa vysoká,Macrolepiota procera,Pitelová_nad Kečkou: Bedľa vysoká,"48,618097","18,913429",10,"2,319902","5,737351","0,151753","0,375302","36,602258","90,521065","2,32 - 5,737","0,152 - 0,375","36,6 - 90,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Počúvadlianske jazero_koliba Veronika,Bedľa vysoká,Macrolepiota procera,Počúvadlianske jazero_koliba Veronika: Bedľa vysoká,"48,405538","18,850633",5,"0,154882","2,523501","0,010131","0,165072","83,217720","1 355,870921","0,155 - 2,524","0,01 - 0,165","83,2 - 1355,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Počúvadlianske jazero_východná strana,Bedľa vysoká,Macrolepiota procera,Počúvadlianske jazero_východná strana: Bedľa vysoká,"48,405850","18,856830",1,"1,891949","1,891949","0,123759","0,123759","110,996650","110,996650","1,892 - 1,892","0,124 - 0,124",111 - 111,https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Podzámčok - Burzovo,Bedľa vysoká,Macrolepiota procera,Podzámčok - Burzovo: Bedľa vysoká,"48,530460","19,123104",1,"2,139996","2,139996","0,139985","0,139985","98,131025","98,131025","2,14 - 2,14","0,14 - 0,14","98,1 - 98,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Pohorelá-Rácovo,Bedľa vysoká,Macrolepiota procera,Pohorelá-Rácovo: Bedľa vysoká,"48,825868","20,003115",2,"2,976343","4,934311","0,194694","0,322772","42,559133","70,556384","2,976 - 4,934","0,195 - 0,323","42,6 - 70,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Polgrúň,Bedľa vysoká,Macrolepiota procera,Polgrúň: Bedľa vysoká,"49,438327","18,672630",7,"3,341775","7,841059","0,218598","0,512913","26,782097","62,840856","3,342 - 7,841","0,219 - 0,513","26,8 - 62,8",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Pruské,Bedľa vysoká,Macrolepiota procera,Pruské: Bedľa vysoká,"49,034973","18,193039",2,"2,256600","2,509687","0,147613","0,164168","83,675773","93,060356","2,257 - 2,51","0,148 - 0,164","83,7 - 93,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Raková_chata Korcháň,Bedľa vysoká,Macrolepiota procera,Raková_chata Korcháň: Bedľa vysoká,"49,476232","18,690995",6,"3,099251","5,338096","0,202734","0,349185","39,339870","67,758307","3,099 - 5,338","0,203 - 0,349","39,3 - 67,8",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Raková_Krížkovci,Bedľa vysoká,Macrolepiota procera,Raková_Krížkovci: Bedľa vysoká,"49,486958","18,686910",1,"2,058955","2,058955","0,134684","0,134684","101,993487","101,993487","2,059 - 2,059","0,135 - 0,135",102 - 102,https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Rakytné,Bedľa vysoká,Macrolepiota procera,Rakytné: Bedľa vysoká,"48,494122","19,401033",1,"1,267699","1,267699","0,082925","0,082925","165,654465","165,654465","1,268 - 1,268","0,083 - 0,083","165,7 - 165,7",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Sitnianska Lehôtka,Bedľa vysoká,Macrolepiota procera,Sitnianska Lehôtka: Bedľa vysoká,"48,303530","18,967080",20,"0,470004","1,644648","0,030745","0,107583","127,686897","446,804708","0,47 - 1,645","0,031 - 0,108","127,7 - 446,8",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Skýcov - Rázdiel,Bedľa vysoká,Macrolepiota procera,Skýcov - Rázdiel: Bedľa vysoká,"48,534865","18,451019",6,"1,634277","4,176280","0,106904","0,273186","50,283985","128,497189","1,634 - 4,176","0,107 - 0,273","50,3 - 128,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Skýcov_2,Bedľa vysoká,Macrolepiota procera,Skýcov_2: Bedľa vysoká,"48,534370","18,482570",1,"1,295496","1,295496","0,084743","0,084743","162,100076","162,100076","1,295 - 1,295","0,085 - 0,085","162,1 - 162,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Skýcov_3,Bedľa vysoká,Macrolepiota procera,Skýcov_3: Bedľa vysoká,"48,540928","18,444937",3,"0,698200","1,287058","0,045672","0,084191","163,162810","300,773417","0,698 - 1,287","0,046 - 0,084","163,2 - 300,8",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Smolenice,Bedľa vysoká,Macrolepiota procera,Smolenice: Bedľa vysoká,"48,513050","17,419500",1,"1,442699","1,442699","0,094372","0,094372","145,560509","145,560509","1,443 - 1,443","0,094 - 0,094","145,6 - 145,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Snina_Štefkovo,Bedľa vysoká,Macrolepiota procera,Snina_Štefkovo: Bedľa vysoká,"48,962551","22,188816",7,"1,727876","2,886256","0,113027","0,188801","72,758619","121,536499","1,728 - 2,886","0,113 - 0,189","72,8 - 121,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Sokolovce,Bedľa vysoká,Macrolepiota procera,Sokolovce: Bedľa vysoká,"48,538835","17,861455",12,"0,848000","3,119000","0,055471","0,204025","67,329272","247,641509","0,848 - 3,119","0,055 - 0,204","67,3 - 247,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Solčany,Bedľa vysoká,Macrolepiota procera,Solčany: Bedľa vysoká,"48,516670","18,223450",8,"1,442240","3,751974","0,094342","0,245431","55,970537","145,606834","1,442 - 3,752","0,094 - 0,245","56 - 145,6",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Stakčín_Hrúnok,Bedľa vysoká,Macrolepiota procera,Stakčín_Hrúnok: Bedľa vysoká,"49,015780","22,234320",1,"0,729321","0,729321","0,047708","0,047708","287,939056","287,939056","0,729 - 0,729","0,048 - 0,048","287,9 - 287,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Šachtička,Bedľa vysoká,Macrolepiota procera,Šachtička: Bedľa vysoká,"48,803309","19,150328",6,"2,229604","2,647459","0,145847","0,173180","79,321342","94,187129","2,23 - 2,647","0,146 - 0,173","79,3 - 94,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Šášovské Podhradie_hrad,Bedľa vysoká,Macrolepiota procera,Šášovské Podhradie_hrad: Bedľa vysoká,"48,579320","18,908380",3,"1,700521","2,481380","0,111237","0,162316","84,630327","123,491565","1,701 - 2,481","0,111 - 0,162","84,6 - 123,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Šaštín - Stráže_Gazárka,Bedľa vysoká,Macrolepiota procera,Šaštín - Stráže_Gazárka: Bedľa vysoká,"48,631222","17,135947",2,"0,711221","1,570587","0,046524","0,102738","133,707970","295,266872","0,711 - 1,571","0,047 - 0,103","133,7 - 295,3",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
